epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38269,3.48365,4.2638,2.68392,0.0021,0.23333,0.00176,0.00072,2.92123,3.66848,2.29597,0.00011432,0.00011432,0.00011432
2,9.01497,2.03676,3.41559,1.58622,0.00735,0.73333,0.15339,0.0394,2.29646,3.37756,1.76798,0.000240525,0.000240525,0.000240525
3,11.4456,1.60715,2.85118,1.27358,0.00842,0.84167,0.34126,0.13145,1.74182,3.14818,1.46841,0.000364184,0.000364184,0.000364184
4,13.8168,1.46277,2.41916,1.20306,0.00867,0.86667,0.51147,0.25742,1.6791,3.00939,1.35525,0.000485296,0.000485296,0.000485296
5,16.1957,1.48161,2.13886,1.19118,0.00882,0.88333,0.54931,0.25532,1.77262,2.86595,1.38988,0.000603861,0.000603861,0.000603861
6,18.6392,1.53695,1.9683,1.17751,0.84563,0.29096,0.67948,0.3717,1.61153,2.52174,1.16302,0.00071988,0.00071988,0.00071988
7,20.9307,1.45076,1.86225,1.13776,0.81999,0.61122,0.75348,0.39989,1.64974,2.16736,1.1809,0.000833353,0.000833353,0.000833353
8,23.2161,1.40305,1.78524,1.12498,0.76302,0.63616,0.79605,0.44759,1.60818,2.06077,1.1935,0.000944279,0.000944279,0.000944279
9,25.4662,1.38681,1.62514,1.11478,0.82784,0.57716,0.79772,0.45243,1.63172,2.15472,1.2176,0.00105266,0.00105266,0.00105266
10,27.7287,1.39216,1.52042,1.10804,0.73235,0.62884,0.72723,0.36317,1.77532,2.22915,1.30551,0.00115849,0.00115849,0.00115849
11,30.1229,1.36319,1.51645,1.10419,0.6588,0.66617,0.72718,0.38733,1.7344,2.01222,1.27506,0.00126178,0.00126178,0.00126178
12,32.739,1.32786,1.46682,1.08352,0.5419,0.5097,0.53531,0.27058,1.91751,2.29542,1.38461,0.00127338,0.00127338,0.00127338
13,35.2796,1.28835,1.42894,1.10029,0.67235,0.71153,0.78077,0.45177,1.67383,1.75014,1.20814,0.00125923,0.00125923,0.00125923
14,37.7503,1.21401,1.34551,1.08083,0.56823,0.47786,0.54424,0.31139,1.63023,2.11801,1.22223,0.00124509,0.00124509,0.00124509
15,39.9436,1.25481,1.33464,1.06972,0.57438,0.39167,0.4064,0.22298,1.73634,2.37245,1.2638,0.00123094,0.00123094,0.00123094
16,42.1433,1.32651,1.41307,1.07356,0.73014,0.63756,0.77169,0.49594,1.46977,1.80679,1.14443,0.00121679,0.00121679,0.00121679
17,44.3308,1.22567,1.33142,1.07048,0.82512,0.71667,0.84898,0.5609,1.37767,1.70842,1.08054,0.00120265,0.00120265,0.00120265
18,46.679,1.20474,1.25122,1.0399,0.84913,0.75968,0.83731,0.58916,1.39852,1.68817,1.15245,0.0011885,0.0011885,0.0011885
19,49.1397,1.19349,1.24485,1.02565,0.84242,0.61122,0.77114,0.44485,1.80231,2.06437,1.49565,0.00117435,0.00117435,0.00117435
20,51.3745,1.22018,1.25998,1.03919,0.83369,0.6488,0.77059,0.50742,1.5004,1.86326,1.26932,0.00116021,0.00116021,0.00116021
21,53.6532,1.22419,1.2621,1.04114,0.82296,0.69104,0.78208,0.48247,1.46781,1.8187,1.21158,0.00114606,0.00114606,0.00114606
22,55.9193,1.22683,1.25622,1.04893,0.74985,0.80524,0.89586,0.54929,1.3005,1.35947,0.99689,0.00113191,0.00113191,0.00113191
23,58.2594,1.22732,1.28127,1.07108,0.88016,0.74645,0.87481,0.54778,1.36438,1.39503,1.04327,0.00111776,0.00111776,0.00111776
24,60.6268,1.15577,1.15624,1.02479,0.892,0.71667,0.86047,0.53608,1.36073,1.52326,1.02373,0.00110362,0.00110362,0.00110362
25,62.8849,1.15262,1.16303,1.02669,0.88186,0.72617,0.86957,0.55079,1.34219,1.47071,1.03264,0.00108947,0.00108947,0.00108947
26,65.1844,1.14154,1.16526,1.00754,0.94077,0.74167,0.92362,0.64726,1.23016,1.1342,0.95891,0.00107532,0.00107532,0.00107532
27,67.4746,1.15079,1.19862,1.01434,0.87101,0.8,0.9091,0.62712,1.23922,1.12559,0.95777,0.00106118,0.00106118,0.00106118
28,69.6429,1.12687,1.15536,1.01918,0.80724,0.90285,0.94494,0.66976,1.2396,1.15888,0.9548,0.00104703,0.00104703,0.00104703
29,71.8254,1.0586,1.08971,0.99312,0.91114,0.90833,0.96161,0.65208,1.36544,1.20895,0.97572,0.00103288,0.00103288,0.00103288
30,73.956,1.11716,1.12672,0.99959,0.84407,0.81923,0.9269,0.63898,1.3762,1.24085,1.04613,0.00101873,0.00101873,0.00101873
31,76.1414,1.08475,1.07036,0.98478,0.90343,0.78832,0.92381,0.62252,1.36243,1.17576,1.08557,0.00100459,0.00100459,0.00100459
32,78.3867,1.07,1.09157,0.98483,0.77371,0.9,0.93864,0.64605,1.23494,1.12575,1.00773,0.00099044,0.00099044,0.00099044
33,80.8262,1.05415,1.04387,0.98088,0.82507,0.85822,0.94008,0.66385,1.18477,1.08875,1.00171,0.000976293,0.000976293,0.000976293
34,83.5286,1.02861,1.03132,0.97519,0.91209,0.925,0.96824,0.66025,1.22312,1.02563,0.95446,0.000962146,0.000962146,0.000962146
35,86.0491,1.02922,1.00627,0.97821,0.92847,0.94136,0.96454,0.67209,1.10523,1.00921,0.94505,0.000947999,0.000947999,0.000947999
36,88.7761,1.01702,1.02151,0.97271,0.83733,0.85684,0.94327,0.56672,1.38559,1.04251,0.93576,0.000933851,0.000933851,0.000933851
37,91.4756,1.02158,0.95478,0.96685,0.85167,0.82765,0.93644,0.61777,1.28696,1.03989,0.93797,0.000919704,0.000919704,0.000919704
38,94.1003,0.98854,0.95788,0.96308,0.91779,0.82074,0.94784,0.5794,1.39385,0.99389,0.93944,0.000905557,0.000905557,0.000905557
39,96.6607,1.02197,0.95503,0.96342,0.9037,0.925,0.9742,0.63167,1.39327,0.91495,0.94752,0.00089141,0.00089141,0.00089141
40,99.253,1.00742,0.99772,0.96713,0.91427,0.78836,0.93869,0.6364,1.3527,1.07267,0.99365,0.000877263,0.000877263,0.000877263
41,101.582,1.01434,0.94263,0.96404,0.93353,0.78704,0.94322,0.66735,1.2259,1.08605,0.9613,0.000863116,0.000863116,0.000863116
42,103.887,1.014,0.97016,0.97127,0.98007,0.84793,0.97039,0.7102,1.08188,0.92108,0.89669,0.000848969,0.000848969,0.000848969
43,106.246,1.03529,0.98706,0.96158,0.88156,0.88911,0.94649,0.59409,1.3676,1.07674,0.95898,0.000834822,0.000834822,0.000834822
44,108.659,1.02781,0.94189,0.96124,0.91166,0.85888,0.95685,0.70814,1.0619,1.05186,0.87867,0.000820675,0.000820675,0.000820675
45,110.985,0.93517,0.92338,0.95362,0.8831,0.93824,0.96308,0.7017,1.13447,0.94784,0.90298,0.000806528,0.000806528,0.000806528
46,113.297,0.97525,0.90732,0.9611,0.89188,0.94266,0.97634,0.72362,1.14037,0.88157,0.9118,0.00079238,0.00079238,0.00079238
47,115.474,0.97438,0.88721,0.94404,0.84627,0.89141,0.94026,0.67414,1.26109,1.09862,0.98263,0.000778233,0.000778233,0.000778233
48,117.661,0.97333,0.91496,0.9565,0.91244,0.91278,0.97468,0.71135,1.15749,0.91451,0.90816,0.000764086,0.000764086,0.000764086
49,119.769,0.93409,0.85114,0.93511,0.92041,0.94703,0.97392,0.72772,1.06711,0.88657,0.87881,0.000749939,0.000749939,0.000749939
50,121.953,0.938,0.89107,0.93276,0.90171,0.94062,0.97483,0.71745,1.09296,0.88366,0.89067,0.000735792,0.000735792,0.000735792
51,124.133,0.95116,0.85519,0.93673,0.89977,0.93991,0.98004,0.71881,1.0866,0.79422,0.87235,0.000721645,0.000721645,0.000721645
52,126.318,0.92118,0.86512,0.93288,0.95155,0.93167,0.9879,0.72418,1.10734,0.84843,0.89346,0.000707498,0.000707498,0.000707498
53,128.468,0.95189,0.86284,0.93843,0.91977,0.96667,0.98625,0.738,1.16738,0.89873,0.89892,0.000693351,0.000693351,0.000693351
54,130.665,0.91468,0.83617,0.92545,0.92085,0.94633,0.97945,0.71804,1.12775,0.89497,0.89696,0.000679204,0.000679204,0.000679204
55,132.865,0.94047,0.85181,0.93113,0.93902,0.93848,0.98147,0.72116,1.1109,0.86078,0.91342,0.000665057,0.000665057,0.000665057
56,135.106,0.94251,0.85701,0.94272,0.95141,0.95833,0.98739,0.76335,0.97884,0.79206,0.87042,0.000650909,0.000650909,0.000650909
57,137.312,0.95548,0.84834,0.94007,0.96365,0.93333,0.99007,0.74673,1.01145,0.74525,0.88051,0.000636762,0.000636762,0.000636762
58,139.473,0.87409,0.78717,0.91229,0.9718,0.94209,0.98737,0.75683,1.02206,0.72442,0.86888,0.000622615,0.000622615,0.000622615
59,141.617,0.91696,0.80426,0.92533,0.96184,0.95,0.98473,0.72909,1.0961,0.82041,0.88621,0.000608468,0.000608468,0.000608468
60,143.771,0.93621,0.81287,0.94391,0.94932,0.87255,0.96522,0.70638,1.07428,0.8717,0.90896,0.000594321,0.000594321,0.000594321
61,145.895,0.91651,0.83494,0.94058,0.95565,0.9655,0.99252,0.70944,1.18509,0.75152,0.90843,0.000580174,0.000580174,0.000580174
62,148.098,0.87892,0.78092,0.92715,0.97275,0.96077,0.99076,0.72261,1.12658,0.70697,0.88241,0.000566027,0.000566027,0.000566027
63,150.594,0.89123,0.78757,0.93099,0.96108,0.96667,0.9836,0.72291,1.05928,0.77605,0.86635,0.00055188,0.00055188,0.00055188
64,153.161,0.86441,0.75759,0.91127,0.90128,0.92007,0.96448,0.74498,0.98657,0.7556,0.85847,0.000537733,0.000537733,0.000537733
65,155.78,0.8755,0.77521,0.92343,0.95081,0.95234,0.98667,0.75678,0.94622,0.69771,0.84243,0.000523586,0.000523586,0.000523586
66,158.521,0.8518,0.79909,0.91708,0.88823,0.95,0.97393,0.74854,1.04216,0.77645,0.84808,0.000509438,0.000509438,0.000509438
67,161.141,0.86679,0.79367,0.93668,0.9431,0.96852,0.98527,0.74654,1.06457,0.69881,0.82954,0.000495291,0.000495291,0.000495291
68,163.515,0.85626,0.76961,0.91935,0.96674,0.91667,0.98185,0.74029,0.98643,0.76407,0.83019,0.000481144,0.000481144,0.000481144
69,165.804,0.82096,0.76217,0.90569,0.95378,0.97361,0.98858,0.76602,0.90706,0.68625,0.82824,0.000466997,0.000466997,0.000466997
70,168.112,0.79393,0.72697,0.90927,0.97078,0.96846,0.99168,0.76968,0.92754,0.6548,0.82692,0.00045285,0.00045285,0.00045285
71,170.324,0.85019,0.75635,0.91002,0.9925,0.94136,0.99426,0.76358,0.94639,0.66613,0.84392,0.000438703,0.000438703,0.000438703
72,172.453,0.81696,0.73287,0.914,0.93751,0.97556,0.98601,0.75154,0.9797,0.68945,0.84825,0.000424556,0.000424556,0.000424556
73,174.585,0.83242,0.75088,0.90823,0.94142,0.93621,0.98391,0.78026,0.89375,0.67272,0.83971,0.000410409,0.000410409,0.000410409
74,176.923,0.76966,0.70164,0.89212,0.93823,0.97908,0.9862,0.77088,0.94774,0.66625,0.84267,0.000396262,0.000396262,0.000396262
75,179.274,0.76137,0.71154,0.89606,0.95581,0.975,0.99066,0.76319,1.02379,0.71229,0.86777,0.000382115,0.000382115,0.000382115
76,181.729,0.80823,0.69419,0.90275,0.92344,0.94167,0.98309,0.74261,1.10277,0.79351,0.86621,0.000367967,0.000367967,0.000367967
77,184.235,0.80587,0.72047,0.91376,0.9793,0.94417,0.9887,0.76148,0.97018,0.74008,0.84542,0.00035382,0.00035382,0.00035382
78,186.865,0.8358,0.73479,0.90623,0.99133,0.99695,0.995,0.77643,0.93513,0.6776,0.8401,0.000339673,0.000339673,0.000339673
79,189.298,0.80471,0.70537,0.89377,0.97445,0.96667,0.98703,0.76256,1.02271,0.67731,0.85532,0.000325526,0.000325526,0.000325526
80,191.65,0.78824,0.70672,0.89223,0.99073,0.98333,0.99443,0.76099,0.94463,0.66695,0.84908,0.000311379,0.000311379,0.000311379
81,194.046,0.80981,0.71337,0.90968,0.97945,0.9749,0.99009,0.77669,0.93608,0.67154,0.85123,0.000297232,0.000297232,0.000297232
